-1,None,JetPack
-1,None,Frenzied
-1,None,GravitonCatapult
-1,None,IsTransportOverlord
-1,None,AdeptPiercingUpgrade
-1,None,PermanentlyCloakedStasis
-1,None,ImprovedEnergy
-1,None,CliffWalk
-1,None,RavenRecalibratedExplosives
-1,None,RadarField
-1,None,CombatDrugs
-1,None,WidowMineArmed
-1,None,SwarmSeeds
-1,None,Disguise
-1,None,PointDefense
-1,None,LiberatorAGRangeUpgrade
-1,None,RapidRegeneration
-1,None,PermanentlyCloaked
-1,None,Detector
-1,None,MutaliskRegeneration
-1,None,ActivateStasisWard
-1,None,PermanentlyCloakedObserver
-1,None,PowerSourceFast
-1,None,BurrowedMove
-1,None,FlyingLocusts
-1,None,ConcussiveGrenade
-1,None,CloakingField
-1,None,HighCapacityFuelTanks
-1,None,WidowMineBioSplash
-1,None,ImmortalOverload
35,None,Taunt
36,None,stop
38,None,move
45,None,attack
60,None,SprayTerran
61,None,SprayZerg
62,None,SprayProtoss
63,None,SalvageShared
65,None,GhostHoldFire
66,None,GhostWeaponsFree
68,None,Explode
69,0,FleetBeacon researches CarrierLaunchSpeedUpgrade
69,2,FleetBeacon researches PhoenixRangeUpgrade
70,None,FungalGrowth
71,None,GuardianShield
72,None,MULERepair
73,0,Zergling trains Baneling
75,None,Feedback
77,None,PlacePointDefenseDrone
78,None,HallucinationArchon
79,None,HallucinationColossus
80,None,HallucinationHighTemplar
81,None,HallucinationImmortal
82,None,HallucinationPhoenix
83,None,HallucinationProbe
84,None,HallucinationStalker
85,None,HallucinationVoidRay
86,None,HallucinationWarpPrism
87,None,HallucinationZealot
88,None,MULEGather
89,None,SeekerMissile
90,None,CalldownMULE
91,None,GravitonBeam
95,None,SpawnChangeling
102,None,Rally
103,None,ProgressRally
104,None,RallyCommand
105,None,RallyNexus
106,None,RallyHatchery
107,1,RoachWarren researches GlialReconstitution
107,2,RoachWarren researches TunnelingClaws
109,None,InfestedTerrans
110,None,NeuralParasite
111,None,SpawnLarva
112,None,StimpackMarauder
113,None,SupplyDrop
116,None,TimeWarp
117,2,UltraliskCavern researches ChitinousPlating
119,None,SCVHarvest
120,None,ProbeHarvest
122,None,que1
123,None,que5
124,None,que5CancelToSelection
126,None,que5Addon
127,None,BuildInProgress
128,None,Repair
129,0,SCV builds CommandCenter
129,1,SCV builds SupplyDepot
129,2,SCV builds Refinery
129,3,SCV builds Barracks
129,4,SCV builds EngineeringBay
129,5,SCV builds MissileTurret
129,6,SCV builds Bunker
129,8,SCV builds SensorTower
129,9,SCV builds GhostAcademy
129,10,SCV builds Factory
129,11,SCV builds Starport
129,13,SCV builds Armory
129,15,SCV builds FusionCore
131,None,Stimpack
132,None,GhostCloak
134,None,MedivacHeal
135,None,SiegeMode
136,None,Unsiege
137,None,BansheeCloak
138,None,MedivacTransport
139,None,ScannerSweep
140,None,Yamato
141,None,AssaultMode
142,None,FighterMode
143,None,BunkerTransport
144,None,CommandCenterTransport
145,None,CommandCenterLiftOff
146,None,CommandCenterLand
147,0,BarracksFlying builds BarracksTechLab
147,0,Barracks builds BarracksTechLab
147,1,Barracks builds BarracksReactor
147,1,BarracksFlying builds BarracksReactor
148,None,BarracksLiftOff
149,0,FactoryFlying builds FactoryTechLab
149,0,Factory builds FactoryTechLab
149,1,Factory builds FactoryReactor
149,1,FactoryFlying builds FactoryReactor
150,None,FactoryLiftOff
151,0,StarportFlying builds StarportTechLab
151,0,Starport builds StarportTechLab
151,1,Starport builds StarportReactor
151,1,StarportFlying builds StarportReactor
152,None,StarportLiftOff
153,None,FactoryLand
154,None,StarportLand
155,0,OrbitalCommand trains SCV
155,0,PlanetaryFortress trains SCV
155,0,CommandCenter trains SCV
156,None,BarracksLand
157,None,SupplyDepotLower
158,None,SupplyDepotRaise
159,0,Barracks trains Marine
159,1,Barracks trains Reaper
159,2,Barracks trains Ghost
159,3,Barracks trains Marauder
160,1,Factory trains SiegeTank
160,4,Factory trains Thor
160,5,Factory trains Hellion
160,6,Factory trains HellionTank
160,7,Factory trains Cyclone
160,24,Factory trains WidowMine
161,0,Starport trains Medivac
161,1,Starport trains Banshee
161,2,Starport trains Raven
161,3,Starport trains Battlecruiser
161,4,Starport trains VikingFighter
161,6,Starport trains Liberator
162,0,EngineeringBay researches HiSecAutoTracking
162,1,EngineeringBay researches TerranBuildingArmor
162,2,EngineeringBay researches TerranInfantryWeaponsLevel1
162,3,EngineeringBay researches TerranInfantryWeaponsLevel2
162,4,EngineeringBay researches TerranInfantryWeaponsLevel3
162,5,EngineeringBay researches NeosteelFrame
162,6,EngineeringBay researches TerranInfantryArmorsLevel1
162,7,EngineeringBay researches TerranInfantryArmorsLevel2
