223,AberrationACGluescreenDummy
325,AcidSalivaWeapon
343,AcidSpinesWeapon
372,Adept
299,AdeptFenixACGluescreenDummy
948,AdeptPhaseShift
1070,AdeptPiercingWeapon
975,AdeptUpgradeWeapon
974,AdeptWeapon
870,AiurLightBridgeAbandonedNE10
869,AiurLightBridgeAbandonedNE10Out
872,AiurLightBridgeAbandonedNE12
871,AiurLightBridgeAbandonedNE12Out
868,AiurLightBridgeAbandonedNE8
867,AiurLightBridgeAbandonedNE8Out
876,AiurLightBridgeAbandonedNW10
875,AiurLightBridgeAbandonedNW10Out
878,AiurLightBridgeAbandonedNW12
877,AiurLightBridgeAbandonedNW12Out
874,AiurLightBridgeAbandonedNW8
873,AiurLightBridgeAbandonedNW8Out
824,AiurLightBridgeNE10
823,AiurLightBridgeNE10Out
826,AiurLightBridgeNE12
825,AiurLightBridgeNE12Out
822,AiurLightBridgeNE8
821,AiurLightBridgeNE8Out
830,AiurLightBridgeNW10
829,AiurLightBridgeNW10Out
832,AiurLightBridgeNW12
831,AiurLightBridgeNW12Out
828,AiurLightBridgeNW8
827,AiurLightBridgeNW8Out
997,AiurTempleBridgeDestructibleNE10Out
998,AiurTempleBridgeDestructibleNE12Out
996,AiurTempleBridgeDestructibleNE8Out
1000,AiurTempleBridgeDestructibleNW10Out
1001,AiurTempleBridgeDestructibleNW12Out
999,AiurTempleBridgeDestructibleNW8Out
1006,AiurTempleBridgeDestructibleSE10Out
1007,AiurTempleBridgeDestructibleSE12Out
1005,AiurTempleBridgeDestructibleSE8Out
1003,AiurTempleBridgeDestructibleSW10Out
1004,AiurTempleBridgeDestructibleSW12Out
1002,AiurTempleBridgeDestructibleSW8Out
835,AiurTempleBridgeNE10Out
837,AiurTempleBridgeNE12Out
833,AiurTempleBridgeNE8Out
841,AiurTempleBridgeNW10Out
843,AiurTempleBridgeNW12Out
839,AiurTempleBridgeNW8Out
767,Anteplott
1013,ArbiterMP
960,ArbiterMPWeaponMissile
163,Archon
242,ArchonACGluescreenDummy
51,Armory
766,Artosilope
83,Assimilator
319,ATALaserBatteryLMWeapon
320,ATSLaserBatteryLMWeapon
461,AutoTestAttacker
460,AutoTestAttackTargetAir
459,AutoTestAttackTargetGround
53,AutoTurret
341,AutoTurretReleaseWeapon
333,BacklashRocketsLMWeapon
21,Ball
29,Baneling
221,BanelingACGluescreenDummy
137,BanelingBurrowed
28,BanelingCocoon
118,BanelingNest
77,Banshee
186,BansheeACGluescreenDummy
42,Barracks
68,BarracksFlying
60,BarracksReactor
59,BarracksTechLab
79,Battlecruiser
187,BattlecruiserACGluescreenDummy
1058,BattleStationMineralField
1059,BattleStationMineralField750
358,BeaconArmy
359,BeaconAttack
363,BeaconAuto
366,BeaconClaim
368,BeaconCustom1
369,BeaconCustom2
370,BeaconCustom3
371,BeaconCustom4
360,BeaconDefend
364,BeaconDetect
367,BeaconExpand
361,BeaconHarass
362,BeaconIdle
357,BeaconRally
365,BeaconScout
1060,Beacon_Nova
1061,Beacon_NovaSmall
